seqid,source,type,start,end,strand,phase,attributes,ID,color,extended_start,extended_end,gene_id,gene_name,gene_biotype
16,Ensembl,enhancer,53703398,53703830,.,.,ID=ENSR16_9RBJ8;color=#faca00,ENSR16_9RBJ8,#faca00,,,,,
16,Ensembl,promoter,53703831,53704167,.,.,"ID=ENSR16_9RBJC;extended_start=53703831;extended_end=53704167;gene_id=ENSG00000103494,ENSG00000140718;gene_name=RPGRIP1L,FTO;gene_biotype=protein_coding,protein_coding;color=#ff0000",ENSR16_9RBJC,#ff0000,53703831,53704167,"ENSG00000103494,ENSG00000140718","RPGRIP1L,FTO","protein_coding,protein_coding"
16,Ensembl,enhancer,53704168,53704740,.,.,ID=ENSR16_BDMQQ;color=#faca00,ENSR16_BDMQQ,#faca00,,,,,
16,Ensembl,enhancer,53713560,53713734,.,.,ID=ENSR16_83KM99;color=#faca00,ENSR16_83KM99,#faca00,,,,,
16,Ensembl,enhancer,53714109,53715070,.,.,ID=ENSR16_BDMS7;color=#faca00,ENSR16_BDMS7,#faca00,,,,,
16,Ensembl,enhancer,53726656,53726944,.,.,ID=ENSR16_9RBQX;color=#faca00,ENSR16_9RBQX,#faca00,,,,,
16,Ensembl,enhancer,53732315,53732997,.,.,ID=ENSR16_BDMWS;color=#faca00,ENSR16_BDMWS,#faca00,,,,,
16,Ensembl,enhancer,53743186,53743406,.,.,ID=ENSR16_83KMWF;color=#faca00,ENSR16_83KMWF,#faca00,,,,,
16,Ensembl,enhancer,53744494,53744791,.,.,ID=ENSR16_9RBZ5;color=#faca00,ENSR16_9RBZ5,#faca00,,,,,
16,Ensembl,CTCF_binding_site,53744515,53744536,-,.,ID=ENSR16_5GMBG8;color=#40e0d0,ENSR16_5GMBG8,#40e0d0,,,,,
16,Ensembl,enhancer,53745010,53746286,.,.,ID=ENSR16_C7BZS;color=#faca00,ENSR16_C7BZS,#faca00,,,,,
16,Ensembl,CTCF_binding_site,53753646,53753667,+,.,ID=ENSR16_5GMD2J;color=#40e0d0,ENSR16_5GMD2J,#40e0d0,,,,,
16,Ensembl,enhancer,53755335,53755838,.,.,ID=ENSR16_9RC49;color=#faca00,ENSR16_9RC49,#faca00,,,,,
16,Ensembl,enhancer,53756407,53756941,.,.,ID=ENSR16_BDN3B;color=#faca00,ENSR16_BDN3B,#faca00,,,,,
16,Ensembl,enhancer,53762095,53762250,.,.,ID=ENSR16_83KNBC;color=#faca00,ENSR16_83KNBC,#faca00,,,,,
16,Ensembl,enhancer,53766724,53767003,.,.,ID=ENSR16_9RC7J;color=#faca00,ENSR16_9RC7J,#faca00,,,,,
16,Ensembl,enhancer,53768202,53769164,.,.,ID=ENSR16_BDN52;color=#faca00,ENSR16_BDN52,#faca00,,,,,
16,Ensembl,enhancer,53770763,53770900,.,.,ID=ENSR16_83KNHD;color=#faca00,ENSR16_83KNHD,#faca00,,,,,
16,Ensembl,enhancer,53773198,53773929,.,.,ID=ENSR16_BDN5P;color=#faca00,ENSR16_BDN5P,#faca00,,,,,
16,Ensembl,CTCF_binding_site,53773321,53773342,-,.,ID=ENSR16_5GMHDL;color=#40e0d0,ENSR16_5GMHDL,#40e0d0,,,,,
16,Ensembl,enhancer,53775557,53776572,.,.,ID=ENSR16_BDN64;color=#faca00,ENSR16_BDN64,#faca00,,,,,
16,Ensembl,enhancer,53780145,53780363,.,.,ID=ENSR16_83KNNS;color=#faca00,ENSR16_83KNNS,#faca00,,,,,
16,Ensembl,enhancer,53781190,53781599,.,.,ID=ENSR16_9RCCQ;color=#faca00,ENSR16_9RCCQ,#faca00,,,,,
16,Ensembl,enhancer,53784250,53784628,.,.,ID=ENSR16_9RCDL;color=#faca00,ENSR16_9RCDL,#faca00,,,,,
16,Ensembl,enhancer,53785155,53785344,.,.,ID=ENSR16_83KNRP;color=#faca00,ENSR16_83KNRP,#faca00,,,,,
