seqid,start,end,length_bp,strand,rank,exon_id,ensembl_phase,ensembl_end_phase,constitutive,distance_from_TSS_start_bp,coordinate_system
16,53704156,53704229,74,+,1,ENSE00003793523,-1,0,0,0,"GRCh38, 1-based inclusive"
16,53810140,53810217,78,+,2,ENSE00003499057,0,0,0,105984,"GRCh38, 1-based inclusive"
16,53825864,53826491,628,+,3,ENSE00001319762,0,1,0,121708,"GRCh38, 1-based inclusive"
16,53844155,53844298,144,+,4,ENSE00003480244,1,1,0,139999,"GRCh38, 1-based inclusive"
16,53873786,53873865,80,+,5,ENSE00003523757,1,0,0,169630,"GRCh38, 1-based inclusive"
16,53879844,53879987,144,+,6,ENSE00003575733,0,0,0,175688,"GRCh38, 1-based inclusive"
16,53888832,53888951,120,+,7,ENSE00003604517,0,0,0,184676,"GRCh38, 1-based inclusive"
16,53933985,53934109,125,+,8,ENSE00003492841,0,2,0,229829,"GRCh38, 1-based inclusive"
16,54111762,54121941,10180,+,9,ENSE00001946879,2,-1,0,407606,"GRCh38, 1-based inclusive"
