seqid,start,end,length_bp,ID,type,locus_context,distance_to_TSS_nearest_edge_bp,distance_midpoint_to_TSS_bp,midpoint,coordinate_system
16,53703398,53703830,433,ENSR16_9RBJ8,enhancer,upstream,326,-542.0,53703614.0,"GRCh38, 1-based inclusive"
16,53704168,53704740,573,ENSR16_BDMQQ,enhancer,overlaps exon 1,12,298.0,53704454.0,"GRCh38, 1-based inclusive"
16,53713560,53713734,175,ENSR16_83KM99,enhancer,intron 1,9404,9491.0,53713647.0,"GRCh38, 1-based inclusive"
16,53714109,53715070,962,ENSR16_BDMS7,enhancer,intron 1,9953,10433.5,53714589.5,"GRCh38, 1-based inclusive"
16,53726656,53726944,289,ENSR16_9RBQX,enhancer,intron 1,22500,22644.0,53726800.0,"GRCh38, 1-based inclusive"
16,53732315,53732997,683,ENSR16_BDMWS,enhancer,intron 1,28159,28500.0,53732656.0,"GRCh38, 1-based inclusive"
16,53743186,53743406,221,ENSR16_83KMWF,enhancer,intron 1,39030,39140.0,53743296.0,"GRCh38, 1-based inclusive"
16,53744494,53744791,298,ENSR16_9RBZ5,enhancer,intron 1,40338,40486.5,53744642.5,"GRCh38, 1-based inclusive"
16,53745010,53746286,1277,ENSR16_C7BZS,enhancer,intron 1,40854,41492.0,53745648.0,"GRCh38, 1-based inclusive"
16,53755335,53755838,504,ENSR16_9RC49,enhancer,intron 1,51179,51430.5,53755586.5,"GRCh38, 1-based inclusive"
16,53756407,53756941,535,ENSR16_BDN3B,enhancer,intron 1,52251,52518.0,53756674.0,"GRCh38, 1-based inclusive"
16,53762095,53762250,156,ENSR16_83KNBC,enhancer,intron 1,57939,58016.5,53762172.5,"GRCh38, 1-based inclusive"
16,53766724,53767003,280,ENSR16_9RC7J,enhancer,intron 1,62568,62707.5,53766863.5,"GRCh38, 1-based inclusive"
16,53768202,53769164,963,ENSR16_BDN52,enhancer,intron 1,64046,64527.0,53768683.0,"GRCh38, 1-based inclusive"
16,53770763,53770900,138,ENSR16_83KNHD,enhancer,intron 1,66607,66675.5,53770831.5,"GRCh38, 1-based inclusive"
16,53773198,53773929,732,ENSR16_BDN5P,enhancer,intron 1,69042,69407.5,53773563.5,"GRCh38, 1-based inclusive"
16,53775557,53776572,1016,ENSR16_BDN64,enhancer,intron 1,71401,71908.5,53776064.5,"GRCh38, 1-based inclusive"
16,53780145,53780363,219,ENSR16_83KNNS,enhancer,intron 1,75989,76098.0,53780254.0,"GRCh38, 1-based inclusive"
16,53781190,53781599,410,ENSR16_9RCCQ,enhancer,intron 1,77034,77238.5,53781394.5,"GRCh38, 1-based inclusive"
16,53784250,53784628,379,ENSR16_9RCDL,enhancer,intron 1,80094,80283.0,53784439.0,"GRCh38, 1-based inclusive"
16,53785155,53785344,190,ENSR16_83KNRP,enhancer,intron 1,80999,81093.5,53785249.5,"GRCh38, 1-based inclusive"
16,53789175,53789539,365,ENSR16_9RCG3,enhancer,intron 1,85019,85201.0,53789357.0,"GRCh38, 1-based inclusive"
16,53792593,53792711,119,ENSR16_756DX2,enhancer,intron 1,88437,88496.0,53792652.0,"GRCh38, 1-based inclusive"
16,53809142,53809704,563,ENSR16_BDNBX,enhancer,intron 1,104986,105267.0,53809423.0,"GRCh38, 1-based inclusive"
16,53816214,53816453,240,ENSR16_83KPGP,enhancer,intron 2,112058,112177.5,53816333.5,"GRCh38, 1-based inclusive"
16,53817055,53818252,1198,ENSR16_C7C73,enhancer,intron 2,112899,113497.5,53817653.5,"GRCh38, 1-based inclusive"
