seqid,start,end,length_bp,ID,type,strand,locus_context,distance_midpoint_to_TSS_bp,gene_id,gene_name,gene_biotype,attributes
16,53703398,53703830,433,ENSR16_9RBJ8,enhancer,.,upstream,-542.0,,,,ID=ENSR16_9RBJ8;color=#faca00
16,53703831,53704167,337,ENSR16_9RBJC,promoter,.,overlaps exon 1,-157.0,"ENSG00000103494,ENSG00000140718","RPGRIP1L,FTO","protein_coding,protein_coding","ID=ENSR16_9RBJC;extended_start=53703831;extended_end=53704167;gene_id=ENSG00000103494,ENSG00000140718;gene_name=RPGRIP1L,FTO;gene_biotype=protein_coding,protein_coding;color=#ff0000"
16,53704168,53704740,573,ENSR16_BDMQQ,enhancer,.,overlaps exon 1,298.0,,,,ID=ENSR16_BDMQQ;color=#faca00
16,53713560,53713734,175,ENSR16_83KM99,enhancer,.,intron 1,9491.0,,,,ID=ENSR16_83KM99;color=#faca00
16,53714109,53715070,962,ENSR16_BDMS7,enhancer,.,intron 1,10433.5,,,,ID=ENSR16_BDMS7;color=#faca00
16,53726656,53726944,289,ENSR16_9RBQX,enhancer,.,intron 1,22644.0,,,,ID=ENSR16_9RBQX;color=#faca00
16,53732315,53732997,683,ENSR16_BDMWS,enhancer,.,intron 1,28500.0,,,,ID=ENSR16_BDMWS;color=#faca00
16,53743186,53743406,221,ENSR16_83KMWF,enhancer,.,intron 1,39140.0,,,,ID=ENSR16_83KMWF;color=#faca00
16,53744494,53744791,298,ENSR16_9RBZ5,enhancer,.,intron 1,40486.5,,,,ID=ENSR16_9RBZ5;color=#faca00
16,53744515,53744536,22,ENSR16_5GMBG8,CTCF_binding_site,-,intron 1,40369.5,,,,ID=ENSR16_5GMBG8;color=#40e0d0
16,53745010,53746286,1277,ENSR16_C7BZS,enhancer,.,intron 1,41492.0,,,,ID=ENSR16_C7BZS;color=#faca00
16,53753646,53753667,22,ENSR16_5GMD2J,CTCF_binding_site,+,intron 1,49500.5,,,,ID=ENSR16_5GMD2J;color=#40e0d0
16,53755335,53755838,504,ENSR16_9RC49,enhancer,.,intron 1,51430.5,,,,ID=ENSR16_9RC49;color=#faca00
16,53756407,53756941,535,ENSR16_BDN3B,enhancer,.,intron 1,52518.0,,,,ID=ENSR16_BDN3B;color=#faca00
16,53762095,53762250,156,ENSR16_83KNBC,enhancer,.,intron 1,58016.5,,,,ID=ENSR16_83KNBC;color=#faca00
16,53766724,53767003,280,ENSR16_9RC7J,enhancer,.,intron 1,62707.5,,,,ID=ENSR16_9RC7J;color=#faca00
16,53768202,53769164,963,ENSR16_BDN52,enhancer,.,intron 1,64527.0,,,,ID=ENSR16_BDN52;color=#faca00
16,53770763,53770900,138,ENSR16_83KNHD,enhancer,.,intron 1,66675.5,,,,ID=ENSR16_83KNHD;color=#faca00
16,53773198,53773929,732,ENSR16_BDN5P,enhancer,.,intron 1,69407.5,,,,ID=ENSR16_BDN5P;color=#faca00
16,53773321,53773342,22,ENSR16_5GMHDL,CTCF_binding_site,-,intron 1,69175.5,,,,ID=ENSR16_5GMHDL;color=#40e0d0
16,53775557,53776572,1016,ENSR16_BDN64,enhancer,.,intron 1,71908.5,,,,ID=ENSR16_BDN64;color=#faca00
16,53780145,53780363,219,ENSR16_83KNNS,enhancer,.,intron 1,76098.0,,,,ID=ENSR16_83KNNS;color=#faca00
16,53781190,53781599,410,ENSR16_9RCCQ,enhancer,.,intron 1,77238.5,,,,ID=ENSR16_9RCCQ;color=#faca00
16,53784250,53784628,379,ENSR16_9RCDL,enhancer,.,intron 1,80283.0,,,,ID=ENSR16_9RCDL;color=#faca00
16,53785155,53785344,190,ENSR16_83KNRP,enhancer,.,intron 1,81093.5,,,,ID=ENSR16_83KNRP;color=#faca00
16,53789175,53789539,365,ENSR16_9RCG3,enhancer,.,intron 1,85201.0,,,,ID=ENSR16_9RCG3;color=#faca00
16,53792593,53792711,119,ENSR16_756DX2,enhancer,.,intron 1,88496.0,,,,ID=ENSR16_756DX2;color=#faca00
16,53809142,53809704,563,ENSR16_BDNBX,enhancer,.,intron 1,105267.0,,,,ID=ENSR16_BDNBX;color=#faca00
16,53816214,53816453,240,ENSR16_83KPGP,enhancer,.,intron 2,112177.5,,,,ID=ENSR16_83KPGP;color=#faca00
16,53817055,53818252,1198,ENSR16_C7C73,enhancer,.,intron 2,113497.5,,,,ID=ENSR16_C7C73;color=#faca00
16,53821422,53822454,1033,ENSR16_C7C7C,enhancer,.,intron 2,117782.0,,,,ID=ENSR16_C7C7C;color=#faca00
16,53823124,53823511,388,ENSR16_9RCRT,enhancer,.,intron 2,119161.5,,,,ID=ENSR16_9RCRT;color=#faca00
16,53824567,53824588,22,ENSR16_5GMS6T,CTCF_binding_site,+,intron 2,120421.5,,,,ID=ENSR16_5GMS6T;color=#40e0d0
16,53827798,53828049,252,ENSR16_83KPPF,enhancer,.,intron 3,123767.5,,,,ID=ENSR16_83KPPF;color=#faca00
16,53829246,53829522,277,ENSR16_9RCTM,enhancer,.,intron 3,125228.0,,,,ID=ENSR16_9RCTM;color=#faca00
16,53864845,53865832,988,ENSR16_BDNM2,enhancer,.,intron 4,161182.5,,,,ID=ENSR16_BDNM2;color=#faca00
16,53872815,53873164,350,ENSR16_9RDC8,enhancer,.,intron 4,168833.5,,,,ID=ENSR16_9RDC8;color=#faca00
16,53881313,53881778,466,ENSR16_9RDFP,enhancer,.,intron 6,177389.5,,,,ID=ENSR16_9RDFP;color=#faca00
16,53891888,53891909,22,ENSR16_5GN8PJ,CTCF_binding_site,-,intron 7,187742.5,,,,ID=ENSR16_5GN8PJ;color=#40e0d0
16,53892050,53892593,544,ENSR16_BDNQW,enhancer,.,intron 7,188165.5,,,,ID=ENSR16_BDNQW;color=#faca00
16,53892251,53892272,22,ENSR16_5GN8R7,CTCF_binding_site,-,intron 7,188105.5,,,,ID=ENSR16_5GN8R7;color=#40e0d0
16,53894048,53894438,391,ENSR16_9RDKD,enhancer,.,intron 7,190087.0,,,,ID=ENSR16_9RDKD;color=#faca00
16,53911573,53911737,165,ENSR16_83KRHT,enhancer,.,intron 7,207499.0,,,,ID=ENSR16_83KRHT;color=#faca00
16,53912178,53912652,475,ENSR16_9RDQM,enhancer,.,intron 7,208259.0,,,,ID=ENSR16_9RDQM;color=#faca00
16,53912849,53913684,836,ENSR16_BDNTX,enhancer,.,intron 7,209110.5,,,,ID=ENSR16_BDNTX;color=#faca00
16,53914037,53914205,169,ENSR16_83KRKB,enhancer,.,intron 7,209965.0,,,,ID=ENSR16_83KRKB;color=#faca00
16,53922892,53923391,500,ENSR16_9RDTQ,enhancer,.,intron 7,218985.5,,,,ID=ENSR16_9RDTQ;color=#faca00
16,53924539,53924886,348,ENSR16_9RDW7,enhancer,.,intron 7,220556.5,,,,ID=ENSR16_9RDW7;color=#faca00
16,53925058,53925258,201,ENSR16_83KRRN,enhancer,.,intron 7,221002.0,,,,ID=ENSR16_83KRRN;color=#faca00
16,53945995,53946236,242,ENSR16_83KS8S,enhancer,.,intron 8,241959.5,,,,ID=ENSR16_83KS8S;color=#faca00
16,53946105,53946126,22,ENSR16_5GNL2J,CTCF_binding_site,-,intron 8,241959.5,,,,ID=ENSR16_5GNL2J;color=#40e0d0
16,53946878,53947282,405,ENSR16_9RF5N,enhancer,.,intron 8,242924.0,,,,ID=ENSR16_9RF5N;color=#faca00
16,53949843,53950042,200,ENSR16_83KSC2,enhancer,.,intron 8,245786.5,,,,ID=ENSR16_83KSC2;color=#faca00
16,53952356,53953049,694,ENSR16_BDP4M,enhancer,.,intron 8,248546.5,,,,ID=ENSR16_BDP4M;color=#faca00
16,53968490,53968997,508,ENSR16_9RFCX,enhancer,.,intron 8,264587.5,,,,ID=ENSR16_9RFCX;color=#faca00
16,53974646,53975042,397,ENSR16_9RFFP,enhancer,.,intron 8,270688.0,,,,ID=ENSR16_9RFFP;color=#faca00
16,53991220,53992296,1077,ENSR16_C7CMM,enhancer,.,intron 8,287602.0,,,,ID=ENSR16_C7CMM;color=#faca00
16,53999959,54000165,207,ENSR16_83KTF2,promoter,.,intron 8,295906.0,ENSG00000260194,,lncRNA,ID=ENSR16_83KTF2;extended_start=53999959;extended_end=54000165;gene_id=ENSG00000260194;gene_biotype=lncRNA;color=#ff0000
16,54027094,54027823,730,ENSR16_BDPHG,enhancer,.,intron 8,323302.5,,,,ID=ENSR16_BDPHG;color=#faca00
16,54030551,54030717,167,ENSR16_83KW3P,enhancer,.,intron 8,326478.0,,,,ID=ENSR16_83KW3P;color=#faca00
16,54031459,54031717,259,ENSR16_9RG35,enhancer,.,intron 8,327432.0,,,,ID=ENSR16_9RG35;color=#faca00
16,54042493,54042732,240,ENSR16_83KWBM,enhancer,.,intron 8,338456.5,,,,ID=ENSR16_83KWBM;color=#faca00
16,54049119,54051259,2141,ENSR16_D4NDX,enhancer,.,intron 8,346033.0,,,,ID=ENSR16_D4NDX;color=#faca00
16,54051969,54052130,162,ENSR16_83KWJ5,enhancer,.,intron 8,347893.5,,,,ID=ENSR16_83KWJ5;color=#faca00
16,54062357,54063451,1095,ENSR16_C7CSR,enhancer,.,intron 8,358748.0,,,,ID=ENSR16_C7CSR;color=#faca00
16,54062530,54062551,22,ENSR16_5GPBZJ,CTCF_binding_site,+,intron 8,358384.5,,,,ID=ENSR16_5GPBZJ;color=#40e0d0
16,54066551,54066794,244,ENSR16_83KWSK,enhancer,.,intron 8,362516.5,,,,ID=ENSR16_83KWSK;color=#faca00
16,54077338,54077887,550,ENSR16_BDPQP,enhancer,.,intron 8,373456.5,,,,ID=ENSR16_BDPQP;color=#faca00
16,54080402,54081194,793,ENSR16_BDPR7,enhancer,.,intron 8,376642.0,,,,ID=ENSR16_BDPR7;color=#faca00
